Name,Date,Review
Hadyan Aufar,"May 31, 2024","Update on bugs (310524): Seems like the bugs that cause the game to be unplayable after opening any chests have been fixed. However, I found some bugs while inflated Bubbles is sucked into launcher flowers, which cause it to be spinning mid-air, uninflated, before popping. Also, I can't quit the game from the main menu and tapping on back button. I have to select any menu and back again several times before the quit the game prompt shows up."
Xavier Wagner,"May 30, 2024",I would like to be able to update the game on my LG Stylo 4 when the updates are released so I won't have to worry about bugs and crashes hindering my gameplay experience. I would also like to be able to open the support page without the app crashing and making sending feedback and reporting bugs harder than it needs to be. I would also appreciate it if the gameplay didn't rely on luck all the time. Other instances of crashes are whenever I play the Level Map and go to the app's home page.
Jens P.,"May 22, 2024","Enough with the zillions of pop-up windows! For some obscure reason, developers (in contrast to most players) seem not to have realized that the recent increase of pop-ups in the main menu dramatically instabilizes the game. It's not about ""improving performance"" with fancy updates. It's about simply getting rid of those pop-ups! Can you do that or do you want to lose more long-time players?"
Chris Kartman,"May 24, 2024",The new energy points system is bull... Used to play this all the time. Now you have 60 energy points to start and reach level takes 10 points to play. Please change it back to the way it was without the energy points garbage. Going to add on to this review. The game freezes on the daily challenge after you get done with the first level and then if you try to hit next it will not take you 2.
Samiel GuentherScott,"May 26, 2024","Constant issues. Game freezing up for no reason, pulling up menus that won't let me click off of them, telling me to check my internet connection even if it's perfectly fine. Also have issues with pigs being off screen but not dying, so I can't pass levels and can do nothing about it, as well as almost passing a level but then it automatically ending on its own before all pigs can die. It's getting very annoying. Please fix these issues."
Victorio Macasaet,"June 1, 2024","Always stalling, rewards not given. Help system is useless. Game appears rigged. Glaring mismatches in arena, makes it impossible to win. Random sessions do not appear random, or players are just extremely unlucky. Help system is useless. Only offers excuses , not solutions. The app stalls easily also. They asked me to contact support. I have done so a hundred times. They only offer excuses . And that's after a long time (delayed reply)."
Aniket Kumar,"May 27, 2024","It is a good game, but their are too many glitches! When I press forward button to go into the new room, it does not go to the New room and keeps on forwarding, the pause button does not works. I have to restart the game and have to start the level Again! Due to this the progress I made in games went down. Sometimes, when I opens a chest and choose a card, the touchscreen does not works. I hope you will fix this problem as early as possible.."
NublyPix,"May 26, 2024","Okay. I'm re-reviewing this app and it went from 3 stars to 2. The game was fun to play back in the day, but now there are audio issues here and there. For instance, whenever I don't want to hear any sound coming from the game, it still has the faint sound of the flock and the grunts of the pigs. Not to mention the echo included. I'm glad you fixed the soft-lock issue, but this is ridiculous! Please fix it ASAP."
Martin S,"May 24, 2024","Disappointed! I have been playing this game on and off on different devices and Always had different version of them installed on my phone. But now, game is full of ads, too much stuff forced into the game play, and it became so cluttered that I closed it every single time after just 1 min or two of playing. You guys losing players like this.. falling from ""one of the top games on the phone"" to ""hardly recommend by anyone"""
Jill Sellers,"May 24, 2024","The new update seems to have disabled the ability to turn off the noises the birds make. I can't listen to the game and another show at the same time. The popups that freeze the game also really suck. It would be great if you could fix that. Basically every time I open the app, I have to close all apps then restart the game again."
Davvey L,"May 20, 2024","The game itself is quite enjoyable - playing with the physics in the game is great, the birds are all well defined and different enough to be considered unique. This falls down for me is the adds. Not the adds to gain a new life for the various mini games they are fine and is smart. On the map with all the levels and zones after beating some of the levels and then having an add pop up that halts you playing defeats the purpose of the app. Personally i close it, not wanting to play it anymore."
